BIN,Accident Report ID,Incident Date,Record Type Description,Check2 Description,Fatality,Injury,House Number,Street Name,Borough,Block,Lot,Postcode,Latitude,Longitude,Community Board,Council District,BBL,Census Tract (2020),Neighborhood Tabulation Area (NTA) (2020)
3000398,42845,2/19/2024,Accident,Other Construction Related,0,1,150,LAWRENCE STREET,Brooklyn,151,37,11201,40.691825,-73.986301,302,33,3001510037,11,BK0202
1091775,43373,6/13/2024,Accident,Other Construction Related,0,1,64,UNIVERSITY PLACE,Manhattan,568,21,10003,40.732953,-73.993635,102,2,1005687501,61,MN0202
1045212,42774,2/1/2024,Accident,Worker Fell,0,1,1487,1 AVENUE,Manhattan,1452,27,10075,40.771378,-73.953405,108,5,1014520027,134,MN0801
4624423,42931,3/8/2024,Accident,Worker Fell,0,1,42-06,ORCHARD STREET,Queens,265,13,11101,40.74817,-73.938805,402,26,4002650013,1902,QN0201
3429784,43324,6/2/2024,Accident,Worker Fell,0,1,1042,ATLANTIC AVENUE,Brooklyn,1125,29,11238,40.680027,-73.959274,308,35,3011250029,305,BK0802
3080756,42967,3/14/2024,Accident,Worker Fell,0,1,326,ROCKAWAY AVENUE,Brooklyn,3499,25,11212,40.671905,-73.911308,316,41,3034990025,924,BK1602
4430171,43745,9/16/2024,Accident,Worker Fell,0,1,50-25,BARNETT AVE,Queens,119,143,11104,40.750171,-73.913174,402,26,4001190143,17101,QN0261
3429554,43675,8/27/2024,Accident,Other Construction Related,0,1,380,4 AVENUE,Brooklyn,980,77,11215,40.67268,-73.986791,306,39,3009800077,11901,BK0601
3010006,43746,9/16/2024,Incident,Other Construction Related,0,0,141,32 STREET,Brooklyn,676,48,11232,40.656994,-74.002811,307,38,3006760048,101,BK0702
1046667,42713,1/17/2024,Accident,Material Failure (Fell),0,1,1076,MADISON AVENUE,Manhattan,1493,14,10028,40.777826,-73.961041,108,4,1014930014,142,MN0802
3337258,43475,7/3/2024,Incident,Other Construction Related,0,0,5216,4 AVENUE,Brooklyn,806,43,11220,40.645207,-74.013906,307,38,3008060043,76,BK0702
4624033,42673,1/9/2024,Notification,Material Failure (Fell),0,1,23-10,42 ROAD,Queens,428,19,11101,40.750555,-73.942664,402,26,4004280019,1903,QN0201
1014167,43432,6/26/2024,Accident,Worker Fell,0,2,280,8 AVENUE,Manhattan,774,1,10001,40.746043,-73.997928,104,3,1007740001,91,MN0401
4624066,43761,9/20/2024,Accident,Other Construction Related,0,1,23-30,BORDEN AVENUE,Queens,68,38,11101,40.739918,-73.947213,402,26,4000680038,104,QN0201
1080293,42991,3/20/2024,Accident,Material Failure (Fell),0,1,533,WEST 19 STREET,Manhattan,691,15,10011,40.74568,-74.007001,104,3,1006910015,9901,MN0401
1091738,42977,3/18/2024,Accident,Other Construction Related,0,1,280,EAST HOUSTON STREET,Manhattan,397,58,10002,40.721627,-73.984307,103,2,1003977503,3002,MN0303
2051283,42896,2/29/2024,Accident,Worker Fell,0,1,2500,BARKER AVENUE,Bronx,4428,7,10467,40.863569,-73.86936,211,15,2044280007,33202,BX1104
3429802,43740,9/13/2024,Accident,Worker Fell,0,1,29,4 STREET,Brooklyn,464,51,11231,40.677701,-73.995158,306,39,3004640051,77,BK0601
1004004,42743,1/24/2024,Incident,Scaffold/Shoring Installations,0,0,62,ORCHARD STREET,Manhattan,309,10,10002,40.716953,-73.990819,103,1,1003090010,16,MN0301
